status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,39,none,own,1,unskilled - resident,2,none,yes,good
0 <= ... < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes,good
no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/ life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,unskilled - resident,1,none,yes,good
... < 0 DM,24,existing credits paid back duly till now,others,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
... < 0 DM,10,existing credits paid back duly till now,radio/television,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,good
no checking account,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,bad
... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
... < 0 DM,12,no credits taken/ all credits paid back duly,repairs,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,bad
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,good
... < 0 DM,12,critical account/ other credits existing (not at this bank),car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,good
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,none,yes,bad
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,3617,unknown/ no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,54,no credits taken/ all credits paid back duly,business,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
no checking account,12,critical account/ other credits existing (not at this bank),education,2012,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",61,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",34,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),radio/television,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/ life insurance,36,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,good
0 <= ... < 200 DM,36,existing credits paid back duly till now,radio/television,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",24,none,rent,1,skilled employee / official,1,none,yes,good
no checking account,6,delay in paying off in the past,radio/television,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,good
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,"car or other, not in attribute Savings account/bonds",35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/ no savings account,... < 1 year,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),others,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",39,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,bad
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown / no property,39,bank,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,bad
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",32,none,own,1,skilled employee / official,1,none,yes,good
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,good
0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM,... >= 7 years,1,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",31,bank,own,2,skilled employee / official,2,none,yes,good
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,education,392,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,good
no checking account,36,critical account/ other credits existing (not at this bank),car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
... < 0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,good
no checking account,48,critical account/ other credits existing (not at this bank),radio/television,3578,unknown/ no savings account,... >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
... < 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no,good
... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",23,none,own,2,skilled employee / official,1,none,yes,bad
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
... < 0 DM,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,good
... >= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,bad
